checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,numner-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,class-label
<0 DM,15,existing credits paid back duly till now,car (new),2511,<100 DM,unemployed,1,none,4,car or other,23,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated,1
<0 DM,12,existing credits paid back duly till now,car (new),1274,<100 DM,<1 years,3,none,1,real estate,37,none,own,1,unskilled - resident,1,none,yes,female,divorced/separated,0
no account,21,existing credits paid back duly till now,car (used),5248,no savings account,1<= < 4 years,1,none,3,car or other,26,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1
no account,15,existing credits paid back duly till now,car (used),3029,<100 DM,4<= <7 years,2,none,2,car or other,33,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1
<0 DM,6,existing credits paid back duly till now,furniture/equipment,428,<100 DM,>=7 years,2,none,1,savings agreement/life insurance,49,bank,own,1,skilled employee / official,1,yes,yes,female,divorced/separated,1
<0 DM,18,existing credits paid back duly till now,car (new),976,<100 DM,<1 years,1,none,2,car or other,23,none,own,1,unskilled - resident,1,none,yes,female,divorced/separated,0
0 <= <200 DM,12,existing credits paid back duly till now,business,841,100 <= <500 DM,4<= <7 years,2,none,4,real estate,23,none,rent,1,unskilled - resident,1,none,yes,female,divorced/separated,1
no account,30,critical account,radio/television,5771,<100 DM,4<= <7 years,4,none,2,car or other,25,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated,1
no account,12,delay in paying off,repairs,1555,>= 1000 DM,>=7 years,4,none,4,unknown / no property,55,none,for free,2,skilled employee / official,2,none,yes,male,divorced/separated,0
<0 DM,24,existing credits paid back duly till now,car (new),1285,no savings account,4<= <7 years,4,none,4,unknown / no property,32,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated,0
>= 200 DM ,6,critical account,car (new),1299,<100 DM,1<= < 4 years,1,none,1,real estate,74,none,own,3,unemployed/ unskilled  - non-resident,2,none,no,male,divorced/separated,1
>= 200 DM ,15,critical account,radio/television,1271,no savings account,1<= < 4 years,3,none,4,unknown / no property,39,none,for free,2,skilled employee / official,1,yes,yes,male,divorced/separated,0
no account,24,existing credits paid back duly till now,car (new),1393,<100 DM,1<= < 4 years,2,guarantor,2,real estate,31,none,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,1
<0 DM,12,critical account,car (new),691,<100 DM,>=7 years,4,none,3,savings agreement/life insurance,35,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,0
no account,15,critical account,car (new),5045,no savings account,>=7 years,1,none,4,car or other,59,none,own,1,skilled employee / official,1,yes,yes,female,divorced/separated,1
<0 DM,18,critical account,furniture/equipment,2124,<100 DM,1<= < 4 years,4,none,4,real estate,24,none,rent,2,skilled employee / official,1,none,yes,female,divorced/separated,0
<0 DM,12,existing credits paid back duly till now,radio/television,2214,<100 DM,1<= < 4 years,4,none,3,savings agreement/life insurance,24,none,own,1,unskilled - resident,1,none,yes,male,divorced/separated,1
no account,21,critical account,car (new),12680,no savings account,>=7 years,4,none,4,unknown / no property,30,none,for free,1,management/ highly qualified employee,1,yes,yes,male,divorced/separated,0
no account,24,critical account,car (new),2463,100 <= <500 DM,4<= <7 years,4,none,3,savings agreement/life insurance,27,none,own,2,skilled employee / official,1,yes,yes,male,married/widowed,1
0 <= <200 DM,12,existing credits paid back duly till now,radio/television,1155,<100 DM,>=7 years,3,guarantor,3,real estate,40,bank,own,2,unskilled - resident,1,none,yes,male,married/widowed,1
<0 DM,30,existing credits paid back duly till now,furniture/equipment,3108,<100 DM,<1 years,2,none,4,savings agreement/life insurance,31,none,own,1,unskilled - resident,1,none,yes,male,divorced/separated,0
no account,10,existing credits paid back duly till now,car (used),2901,no savings account,<1 years,1,none,4,real estate,31,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated,1
0 <= <200 DM,12,critical account,furniture/equipment,3617,<100 DM,>=7 years,1,none,4,car or other,28,none,rent,3,skilled employee / official,1,yes,yes,male,divorced/separated,1
no account,12,critical account,radio/television,1655,<100 DM,>=7 years,2,none,4,real estate,63,none,own,2,unskilled - resident,1,yes,yes,male,divorced/separated,1
<0 DM,24,existing credits paid back duly till now,car (used),2812,no savings account,>=7 years,2,none,4,real estate,26,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated,1
<0 DM,36,critical account,education,8065,<100 DM,1<= < 4 years,3,none,2,unknown / no property,25,none,own,2,management/ highly qualified employee,1,yes,yes,female,divorced/separated,0
no account,21,critical account,car (used),3275,<100 DM,>=7 years,1,none,4,car or other,36,none,own,1,management/ highly qualified employee,1,yes,yes,male,divorced/separated,1
no account,24,critical account,radio/television,2223,100 <= <500 DM,>=7 years,4,none,4,savings agreement/life insurance,52,bank,own,2,skilled employee / official,1,none,yes,male,divorced/separated,1
>= 200 DM ,12,critical account,car (new),1480,500 <= < 1000 DM,unemployed,2,none,4,unknown / no property,66,bank,for free,3,unemployed/ unskilled  - non-resident,1,none,yes,male,divorced/separated,1
<0 DM,24,existing credits paid back duly till now,car (new),1371,no savings account,1<= < 4 years,4,none,4,real estate,25,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated,0
no account,36,critical account,car (new),3535,<100 DM,4<= <7 years,4,none,4,car or other,37,none,own,2,skilled employee / official,1,yes,yes,male,divorced/separated,1
<0 DM,18,existing credits paid back duly till now,radio/television,3509,<100 DM,4<= <7 years,4,guarantor,1,real estate,25,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated,1
no account,36,critical account,car (used),5711,>= 1000 DM,>=7 years,4,none,2,car or other,38,none,own,2,management/ highly qualified employee,1,yes,yes,male,divorced/separated,1
0 <= <200 DM,18,existing credits paid back duly till now,repairs,3872,<100 DM,unemployed,2,none,4,car or other,67,none,own,1,skilled employee / official,1,yes,yes,female,divorced/separated,1
0 <= <200 DM,39,critical account,radio/television,4933,<100 DM,4<= <7 years,2,guarantor,2,real estate,25,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,0
no account,24,critical account,car (new),1940,>= 1000 DM,>=7 years,4,none,4,real estate,60,none,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,1
0 <= <200 DM,12,no credits taken,retraining,1410,<100 DM,1<= < 4 years,2,none,2,real estate,31,none,own,1,unskilled - resident,1,yes,yes,male,divorced/separated,1
0 <= <200 DM,12,existing credits paid back duly till now,car (new),836,100 <= <500 DM,<1 years,4,none,2,savings agreement/life insurance,23,bank,own,1,unskilled - resident,1,none,yes,female,divorced/separated,0
0 <= <200 DM,20,existing credits paid back duly till now,car (used),6468,no savings account,unemployed,1,none,4,real estate,60,none,own,1,management/ highly qualified employee,1,yes,yes,male,divorced/separated,1
0 <= <200 DM,18,existing credits paid back duly till now,business,1941,>= 1000 DM,1<= < 4 years,4,none,2,savings agreement/life insurance,35,none,own,1,unskilled - resident,1,yes,yes,male,divorced/separated,1
no account,22,existing credits paid back duly till now,radio/television,2675,500 <= < 1000 DM,>=7 years,3,none,4,car or other,40,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1
no account,48,critical account,car (used),2751,no savings account,>=7 years,4,none,3,car or other,38,none,own,2,skilled employee / official,2,yes,yes,male,divorced/separated,1
0 <= <200 DM,48,delay in paying off,education,6224,<100 DM,>=7 years,4,none,4,unknown / no property,50,none,for free,1,skilled employee / official,1,none,yes,male,divorced/separated,0
<0 DM,40,critical account,education,5998,<100 DM,1<= < 4 years,4,none,3,unknown / no property,27,bank,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,0
0 <= <200 DM,21,existing credits paid back duly till now,business,1188,<100 DM,>=7 years,2,none,4,savings agreement/life insurance,39,none,own,1,skilled employee / official,2,none,yes,female,divorced/separated,0
no account,24,existing credits paid back duly till now,car (used),6313,no savings account,>=7 years,3,none,4,car or other,41,none,own,1,management/ highly qualified employee,2,yes,yes,male,divorced/separated,1
no account,6,critical account,furniture/equipment,1221,no savings account,1<= < 4 years,1,none,2,savings agreement/life insurance,27,none,own,2,skilled employee / official,1,none,yes,male,married/widowed,1
>= 200 DM ,24,existing credits paid back duly till now,furniture/equipment,2892,<100 DM,>=7 years,3,none,4,unknown / no property,51,none,for free,1,skilled employee / official,1,none,yes,male,divorced/separated,1
no account,24,existing credits paid back duly till now,furniture/equipment,3062,500 <= < 1000 DM,>=7 years,4,none,3,unknown / no property,32,none,rent,1,skilled employee / official,1,yes,yes,male,divorced/separated,1
no account,9,existing credits paid back duly till now,furniture/equipment,2301,100 <= <500 DM,<1 years,2,none,4,savings agreement/life insurance,22,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated,1
<0 DM,18,existing credits paid back duly till now,car (used),7511,no savings account,>=7 years,1,none,4,savings agreement/life insurance,51,none,for free,1,skilled employee / official,2,yes,yes,male,divorced/separated,0
no account,12,critical account,furniture/equipment,1258,<100 DM,<1 years,2,none,4,savings agreement/life insurance,22,none,rent,2,unskilled - resident,1,none,yes,female,divorced/separated,1
no account,24,delay in paying off,car (new),717,no savings account,>=7 years,4,none,4,car or other,54,none,own,2,skilled employee / official,1,yes,yes,male,married/widowed,1
0 <= <200 DM,9,existing credits paid back duly till now,car (new),1549,no savings account,<1 years,4,none,2,real estate,35,none,own,1,unemployed/ unskilled  - non-resident,1,none,yes,male,divorced/separated,1
no account,24,critical account,education,1597,<100 DM,>=7 years,4,none,4,unknown / no property,54,none,for free,2,skilled employee / official,2,none,yes,male,divorced/separated,1
0 <= <200 DM,18,critical account,radio/television,1795,<100 DM,>=7 years,3,guarantor,4,real estate,48,bank,rent,2,unskilled - resident,1,yes,yes,female,divorced/separated,1
<0 DM,20,critical account,furniture/equipment,4272,<100 DM,>=7 years,1,none,4,savings agreement/life insurance,24,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated,1
no account,12,critical account,radio/television,976,no savings account,>=7 years,4,none,4,car or other,35,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,1
0 <= <200 DM,12,existing credits paid back duly till now,car (new),7472,no savings account,unemployed,1,none,2,real estate,24,none,rent,1,unemployed/ unskilled  - non-resident,1,none,yes,female,divorced/separated,1
<0 DM,36,existing credits paid back duly till now,car (new),9271,<100 DM,4<= <7 years,2,none,1,car or other,24,none,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,0
0 <= <200 DM,6,existing credits paid back duly till now,radio/television,590,<100 DM,<1 years,3,none,3,real estate,26,none,own,1,unskilled - resident,1,none,no,male,married/widowed,1
no account,12,critical account,radio/television,930,no savings account,>=7 years,4,none,4,real estate,65,none,own,4,skilled employee / official,1,none,yes,male,divorced/separated,1
0 <= <200 DM,42,all credits at this bank paid back duly,car (used),9283,<100 DM,unemployed,1,none,2,unknown / no property,55,bank,for free,1,management/ highly qualified employee,1,yes,yes,male,divorced/separated,1
0 <= <200 DM,15,no credits taken,car (new),1778,<100 DM,<1 years,2,none,1,real estate,26,none,rent,2,unemployed/ unskilled  - non-resident,1,none,yes,female,divorced/separated,0
0 <= <200 DM,8,existing credits paid back duly till now,business,907,<100 DM,<1 years,3,none,2,real estate,26,none,own,1,skilled employee / official,1,yes,yes,male,married/widowed,1
0 <= <200 DM,6,existing credits paid back duly till now,radio/television,484,<100 DM,4<= <7 years,3,guarantor,3,real estate,28,bank,own,1,unskilled - resident,1,none,yes,male,married/widowed,1
<0 DM,36,critical account,car (used),9629,<100 DM,4<= <7 years,4,none,4,car or other,24,none,own,2,skilled employee / official,1,yes,yes,male,divorced/separated,0
<0 DM,48,existing credits paid back duly till now,domestic appliances,3051,<100 DM,1<= < 4 years,3,none,4,car or other,54,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,0
<0 DM,48,existing credits paid back duly till now,car (new),3931,<100 DM,4<= <7 years,4,none,4,unknown / no property,46,none,for free,1,skilled employee / official,2,none,yes,male,divorced/separated,0
0 <= <200 DM,36,delay in paying off,car (new),7432,<100 DM,1<= < 4 years,2,none,2,savings agreement/life insurance,54,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated,1
no account,6,existing credits paid back duly till now,domestic appliances,1338,500 <= < 1000 DM,1<= < 4 years,1,none,4,real estate,62,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1
no account,6,critical account,radio/television,1554,<100 DM,4<= <7 years,1,none,2,car or other,24,none,rent,2,skilled employee / official,1,yes,yes,female,divorced/separated,1
<0 DM,36,existing credits paid back duly till now,others,15857,<100 DM,unemployed,2,co-applicant,3,car or other,43,none,own,1,management/ highly qualified employee,1,none,yes,male,divorced/separated,1
<0 DM,18,existing credits paid back duly till now,radio/television,1345,<100 DM,1<= < 4 years,4,none,3,real estate,26,bank,own,1,skilled employee / official,1,none,yes,male,married/widowed,0
no account,12,existing credits paid back duly till now,car (new),1101,<100 DM,1<= < 4 years,3,none,2,real estate,27,none,own,2,skilled employee / official,1,yes,yes,male,married/widowed,1
>= 200 DM ,12,existing credits paid back duly till now,radio/television,3016,<100 DM,1<= < 4 years,3,none,1,car or other,24,none,own,1,skilled employee / official,1,none,yes,male,married/widowed,1
<0 DM,36,existing credits paid back duly till now,furniture/equipment,2712,<100 DM,>=7 years,2,none,2,savings agreement/life insurance,41,bank,own,1,skilled employee / official,2,none,yes,male,divorced/separated,0
<0 DM,8,critical account,car (new),731,<100 DM,>=7 years,4,none,4,real estate,47,none,own,2,unskilled - resident,1,none,yes,male,divorced/separated,1
no account,18,critical account,furniture/equipment,3780,<100 DM,<1 years,3,none,2,car or other,35,none,own,2,management/ highly qualified employee,1,yes,yes,male,divorced/separated,1
<0 DM,21,critical account,car (new),1602,<100 DM,>=7 years,4,none,3,car or other,30,none,own,2,skilled employee / official,1,yes,yes,male,married/widowed,1
<0 DM,18,critical account,car (new),3966,<100 DM,>=7 years,1,none,4,real estate,33,bank,rent,3,skilled employee / official,1,yes,yes,female,divorced/separated,0
no account,18,no credits taken,business,4165,<100 DM,1<= < 4 years,2,none,2,car or other,36,store,own,2,skilled employee / official,2,none,yes,male,divorced/separated,0
<0 DM,36,existing credits paid back duly till now,car (used),8335,no savings account,>=7 years,3,none,4,unknown / no property,47,none,for free,1,skilled employee / official,1,none,yes,male,divorced/separated,0
0 <= <200 DM,48,delay in paying off,business,6681,no savings account,1<= < 4 years,4,none,4,unknown / no property,38,none,for free,1,skilled employee / official,2,yes,yes,male,divorced/separated,1
no account,24,delay in paying off,business,2375,500 <= < 1000 DM,1<= < 4 years,4,none,2,car or other,44,none,own,2,skilled employee / official,2,yes,yes,male,divorced/separated,1
<0 DM,18,existing credits paid back duly till now,car (new),1216,<100 DM,<1 years,4,none,3,car or other,23,none,rent,1,skilled employee / official,1,yes,yes,female,divorced/separated,0
<0 DM,45,no credits taken,business,11816,<100 DM,>=7 years,2,none,4,car or other,29,none,rent,2,skilled employee / official,1,none,yes,male,divorced/separated,0
0 <= <200 DM,24,existing credits paid back duly till now,radio/television,5084,no savings account,>=7 years,2,none,4,car or other,42,none,own,1,skilled employee / official,1,yes,yes,female,divorced/separated,1
>= 200 DM ,15,existing credits paid back duly till now,radio/television,2327,<100 DM,<1 years,2,none,3,real estate,25,none,own,1,unskilled - resident,1,none,yes,female,divorced/separated,0
<0 DM,12,no credits taken,car (new),1082,<100 DM,1<= < 4 years,4,none,4,car or other,48,bank,own,2,skilled employee / official,1,none,yes,male,divorced/separated,0
no account,12,existing credits paid back duly till now,radio/television,886,no savings account,1<= < 4 years,4,none,2,car or other,21,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated,1
no account,4,existing credits paid back duly till now,furniture/equipment,601,<100 DM,<1 years,1,none,3,real estate,23,none,rent,1,unskilled - resident,2,none,yes,female,divorced/separated,1
<0 DM,24,critical account,car (used),2957,<100 DM,>=7 years,4,none,4,savings agreement/life insurance,63,none,own,2,skilled employee / official,1,yes,yes,male,divorced/separated,1
no account,24,critical account,radio/television,2611,<100 DM,>=7 years,4,co-applicant,3,real estate,46,none,own,2,skilled employee / official,1,none,yes,male,married/widowed,1
<0 DM,36,existing credits paid back duly till now,furniture/equipment,5179,<100 DM,4<= <7 years,4,none,2,savings agreement/life insurance,29,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,0
no account,21,delay in paying off,car (used),2993,<100 DM,1<= < 4 years,3,none,2,real estate,28,store,own,2,unskilled - resident,1,none,yes,male,divorced/separated,1
no account,18,existing credits paid back duly till now,repairs,1943,<100 DM,<1 years,4,none,4,real estate,23,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated,0
no account,24,all credits at this bank paid back duly,business,1559,<100 DM,4<= <7 years,4,none,4,car or other,50,bank,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,1
no account,18,existing credits paid back duly till now,furniture/equipment,3422,<100 DM,>=7 years,4,none,4,savings agreement/life insurance,47,bank,own,3,skilled employee / official,2,yes,yes,male,divorced/separated,1
0 <= <200 DM,21,existing credits paid back duly till now,furniture/equipment,3976,no savings account,4<= <7 years,2,none,3,car or other,35,none,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,1
no account,18,existing credits paid back duly till now,car (new),6761,no savings account,1<= < 4 years,2,none,4,car or other,68,none,rent,2,skilled employee / official,1,none,yes,male,divorced/separated,0
no account,24,existing credits paid back duly till now,car (new),1249,<100 DM,<1 years,4,none,2,real estate,28,none,own,1,skilled employee / official,1,none,yes,male,married/widowed,1
<0 DM,9,existing credits paid back duly till now,radio/television,1364,<100 DM,4<= <7 years,3,none,4,real estate,59,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1
<0 DM,12,existing credits paid back duly till now,radio/television,709,<100 DM,>=7 years,4,none,4,real estate,57,store,own,1,unskilled - resident,1,none,yes,male,divorced/separated,0
<0 DM,20,critical account,car (new),2235,<100 DM,1<= < 4 years,4,guarantor,2,savings agreement/life insurance,33,bank,rent,2,skilled employee / official,1,none,no,male,married/widowed,0
no account,24,critical account,car (used),4042,no savings account,4<= <7 years,3,none,4,savings agreement/life insurance,43,none,own,2,skilled employee / official,1,yes,yes,male,divorced/separated,1
no account,15,critical account,radio/television,1471,<100 DM,1<= < 4 years,4,none,4,unknown / no property,35,none,for free,2,skilled employee / official,1,yes,yes,male,divorced/separated,1
<0 DM,18,all credits at this bank paid back duly,car (new),1442,<100 DM,4<= <7 years,4,none,4,unknown / no property,32,none,for free,2,unskilled - resident,2,none,yes,male,divorced/separated,0
no account,36,delay in paying off,car (new),10875,<100 DM,>=7 years,2,none,2,car or other,45,none,own,2,skilled employee / official,2,yes,yes,male,divorced/separated,1
no account,24,existing credits paid back duly till now,car (new),1474,100 <= <500 DM,<1 years,4,none,3,real estate,33,none,own,1,skilled employee / official,1,yes,yes,male,married/widowed,1
no account,10,existing credits paid back duly till now,retraining,894,no savings account,4<= <7 years,4,none,3,savings agreement/life insurance,40,none,own,1,skilled employee / official,1,yes,yes,female,divorced/separated,1
no account,15,critical account,furniture/equipment,3343,<100 DM,1<= < 4 years,4,none,2,unknown / no property,28,none,for free,1,skilled employee / official,1,yes,yes,male,divorced/separated,1
<0 DM,15,existing credits paid back duly till now,car (new),3959,<100 DM,1<= < 4 years,3,none,2,savings agreement/life insurance,29,none,own,1,skilled employee / official,1,yes,yes,female,divorced/separated,0
no account,9,existing credits paid back duly till now,car (new),3577,100 <= <500 DM,1<= < 4 years,1,guarantor,2,real estate,26,none,rent,1,skilled employee / official,2,none,no,male,divorced/separated,1
no account,24,critical account,car (used),5804,>= 1000 DM,1<= < 4 years,4,none,2,real estate,27,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,1
no account,18,delay in paying off,business,2169,<100 DM,1<= < 4 years,4,none,2,car or other,28,none,own,1,skilled employee / official,1,yes,yes,male,married/widowed,0
<0 DM,24,existing credits paid back duly till now,radio/television,2439,<100 DM,<1 years,4,none,4,real estate,35,none,own,1,skilled employee / official,1,yes,yes,female,divorced/separated,0
no account,27,critical account,furniture/equipment,4526,>= 1000 DM,<1 years,4,none,2,real estate,32,store,own,2,unskilled - resident,2,yes,yes,male,divorced/separated,1
no account,10,existing credits paid back duly till now,furniture/equipment,2210,<100 DM,1<= < 4 years,2,none,2,real estate,25,bank,rent,1,unskilled - resident,1,none,yes,male,divorced/separated,0
no account,15,existing credits paid back duly till now,furniture/equipment,2221,500 <= < 1000 DM,1<= < 4 years,2,none,4,car or other,20,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated,1
<0 DM,18,existing credits paid back duly till now,radio/television,2389,<100 DM,<1 years,4,none,1,car or other,27,store,own,1,skilled employee / official,1,none,yes,female,divorced/separated,1
no account,12,critical account,furniture/equipment,3331,<100 DM,>=7 years,2,none,4,savings agreement/life insurance,42,store,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1
no account,36,existing credits paid back duly till now,business,7409,no savings account,>=7 years,3,none,2,savings agreement/life insurance,37,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,1
<0 DM,12,existing credits paid back duly till now,furniture/equipment,652,<100 DM,>=7 years,4,none,4,savings agreement/life insurance,24,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated,1
no account,36,delay in paying off,furniture/equipment,7678,500 <= < 1000 DM,4<= <7 years,2,none,4,car or other,40,none,own,2,skilled employee / official,1,yes,yes,female,divorced/separated,1
>= 200 DM ,6,critical account,car (new),1343,<100 DM,>=7 years,1,none,4,real estate,46,none,own,2,skilled employee / official,2,none,no,male,divorced/separated,1
<0 DM,24,critical account,business,1382,100 <= <500 DM,4<= <7 years,4,none,1,real estate,26,none,own,2,skilled employee / official,1,yes,yes,male,divorced/separated,1
no account,15,existing credits paid back duly till now,domestic appliances,874,no savings account,<1 years,4,none,1,real estate,24,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated,1
<0 DM,12,existing credits paid back duly till now,furniture/equipment,3590,<100 DM,1<= < 4 years,2,co-applicant,2,savings agreement/life insurance,29,none,own,1,unskilled - resident,2,none,yes,male,divorced/separated,1
0 <= <200 DM,11,critical account,car (new),1322,>= 1000 DM,1<= < 4 years,4,none,4,car or other,40,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated,1
<0 DM,18,all credits at this bank paid back duly,radio/television,1940,<100 DM,<1 years,3,co-applicant,4,unknown / no property,36,bank,for free,1,management/ highly qualified employee,1,yes,yes,male,divorced/separated,1
no account,36,existing credits paid back duly till now,radio/television,3595,<100 DM,>=7 years,4,none,2,car or other,28,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1
<0 DM,9,existing credits paid back duly till now,car (new),1422,<100 DM,<1 years,3,none,2,unknown / no property,27,none,for free,1,management/ highly qualified employee,1,yes,yes,male,divorced/separated,0
no account,30,critical account,radio/television,6742,no savings account,4<= <7 years,2,none,3,savings agreement/life insurance,36,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,1
no account,24,existing credits paid back duly till now,car (used),7814,<100 DM,4<= <7 years,3,none,3,car or other,38,none,own,1,management/ highly qualified employee,1,yes,yes,male,divorced/separated,1
no account,24,existing credits paid back duly till now,car (used),9277,no savings account,1<= < 4 years,2,none,4,unknown / no property,48,none,for free,1,skilled employee / official,1,yes,yes,male,divorced/separated,1
0 <= <200 DM,30,critical account,car (new),2181,no savings account,>=7 years,4,none,4,real estate,36,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,1
no account,18,critical account,radio/television,1098,<100 DM,unemployed,4,none,4,car or other,65,none,own,2,unemployed/ unskilled  - non-resident,1,none,yes,female,divorced/separated,1
0 <= <200 DM,24,existing credits paid back duly till now,furniture/equipment,4057,<100 DM,4<= <7 years,3,none,3,car or other,43,none,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,0
<0 DM,12,existing credits paid back duly till now,education,795,<100 DM,<1 years,4,none,4,savings agreement/life insurance,53,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated,0
0 <= <200 DM,24,critical account,business,2825,no savings account,4<= <7 years,4,none,3,unknown / no property,34,none,own,2,skilled employee / official,2,yes,yes,male,divorced/separated,1
0 <= <200 DM,48,existing credits paid back duly till now,business,15672,<100 DM,1<= < 4 years,2,none,2,car or other,23,none,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,0
no account,36,critical account,car (new),6614,<100 DM,>=7 years,4,none,4,car or other,34,none,own,2,management/ highly qualified employee,1,yes,yes,male,divorced/separated,1
no account,28,all credits at this bank paid back duly,car (used),7824,no savings account,<1 years,3,guarantor,4,real estate,40,bank,rent,2,skilled employee / official,2,yes,yes,male,divorced/separated,1
<0 DM,27,critical account,business,2442,<100 DM,>=7 years,4,none,4,car or other,43,store,own,4,management/ highly qualified employee,2,yes,yes,male,divorced/separated,1
no account,15,critical account,radio/television,1829,<100 DM,>=7 years,4,none,4,car or other,46,none,own,2,skilled employee / official,1,yes,yes,male,divorced/separated,1
<0 DM,12,critical account,car (new),2171,<100 DM,1<= < 4 years,4,none,4,savings agreement/life insurance,38,bank,own,2,unskilled - resident,1,none,no,male,divorced/separated,1
0 <= <200 DM,36,critical account,car (used),5800,<100 DM,1<= < 4 years,3,none,4,car or other,34,none,own,2,skilled employee / official,1,yes,yes,male,divorced/separated,1
no account,18,critical account,radio/television,1169,no savings account,1<= < 4 years,4,none,3,savings agreement/life insurance,29,none,own,2,skilled employee / official,1,yes,yes,male,divorced/separated,1
no account,36,delay in paying off,car (used),8947,no savings account,4<= <7 years,3,none,2,car or other,31,store,own,1,management/ highly qualified employee,2,yes,yes,male,divorced/separated,1
<0 DM,21,existing credits paid back duly till now,radio/television,2606,<100 DM,<1 years,4,none,4,savings agreement/life insurance,28,none,rent,1,management/ highly qualified employee,1,yes,yes,female,divorced/separated,1
no account,12,critical account,furniture/equipment,1592,>= 1000 DM,4<= <7 years,3,none,2,savings agreement/life insurance,35,none,own,1,skilled employee / official,1,none,no,female,divorced/separated,1
no account,15,existing credits paid back duly till now,furniture/equipment,2186,no savings account,4<= <7 years,1,none,4,real estate,33,bank,rent,1,unskilled - resident,1,none,yes,female,divorced/separated,1
<0 DM,18,existing credits paid back duly till now,furniture/equipment,4153,<100 DM,1<= < 4 years,2,co-applicant,3,car or other,42,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,0
<0 DM,16,critical account,car (new),2625,<100 DM,>=7 years,2,guarantor,4,savings agreement/life insurance,43,bank,rent,1,skilled employee / official,1,yes,yes,male,divorced/separated,0
no account,20,critical account,car (new),3485,no savings account,<1 years,2,none,4,real estate,44,none,own,2,skilled employee / official,1,yes,yes,male,divorced/separated,1
no account,36,critical account,car (used),10477,no savings account,>=7 years,2,none,4,unknown / no property,42,none,for free,2,skilled employee / official,1,none,yes,male,divorced/separated,1
no account,15,existing credits paid back duly till now,radio/television,1386,no savings account,1<= < 4 years,4,none,2,real estate,40,none,rent,1,skilled employee / official,1,yes,yes,male,married/widowed,1
no account,24,existing credits paid back duly till now,radio/television,1278,<100 DM,>=7 years,4,none,1,real estate,36,none,own,1,management/ highly qualified employee,1,yes,yes,male,divorced/separated,1
<0 DM,12,existing credits paid back duly till now,radio/television,1107,<100 DM,1<= < 4 years,2,none,2,real estate,20,none,rent,1,management/ highly qualified employee,2,yes,yes,male,divorced/separated,1
<0 DM,21,existing credits paid back duly till now,car (new),3763,no savings account,4<= <7 years,2,co-applicant,2,real estate,24,none,own,1,unskilled - resident,1,none,no,male,divorced/separated,1
0 <= <200 DM,36,existing credits paid back duly till now,education,3711,no savings account,1<= < 4 years,2,none,2,car or other,27,none,own,1,skilled employee / official,1,none,yes,male,married/widowed,1
no account,15,delay in paying off,car (used),3594,<100 DM,<1 years,1,none,2,savings agreement/life insurance,46,none,own,2,unskilled - resident,1,none,yes,female,divorced/separated,1
0 <= <200 DM,9,existing credits paid back duly till now,car (new),3195,no savings account,1<= < 4 years,1,none,2,real estate,33,none,own,1,unskilled - resident,1,none,yes,female,divorced/separated,1
